Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",37.568400,54.377000,90.000000,top
"C2","10uf 6.3v","C_0805_2012Metric",34.266400,50.567000,-90.000000,top
"C3","11pF","C_0603_1608Metric",44.680400,45.614000,90.000000,top
"C4","10uf 6.3v","C_0805_2012Metric",49.379400,50.059000,90.000000,top
"C5","0.1uF","C_0603_1608Metric",40.870400,53.742000,0.000000,top
"C6","10uf 6.3v","C_0805_2012Metric",33.123400,44.913000,90.000000,top
"C7","0.1uF","C_0603_1608Metric",35.028400,44.725000,90.000000,top
"C8","10uf 6.3v","C_0805_2012Metric",10.365000,26.284600,-90.000000,top
"C9","0.1uF","C_0603_1608Metric",7.926600,26.386200,-90.000000,top
"C10","10uf 6.3v","C_0805_2012Metric",36.311400,15.300500,0.000000,top
"C11","1uF, 16v","C_0603_1608Metric",16.359400,22.500000,-90.000000,top
"C12","0.1uF","C_0603_1608Metric",36.298400,17.470800,0.000000,top
"C13","0.1uF","C_0603_1608Metric",8.866400,16.023000,180.000000,top
"C15","0.1uF","C_0603_1608Metric",25.554200,6.663400,-90.000000,top
"C16","0.1uF","C_0603_1608Metric",18.645400,53.513400,180.000000,top
"C17","0.1uF","C_0603_1608Metric",56.745400,52.853000,90.000000,top
"C19","DNP","C_0603_1608Metric",49.252400,45.741000,90.000000,top
"D1","NeoPixel_THT","LED_WS2812B-2020_PLCC4_2.0x2.0mm",31.802600,16.150000,-90.000000,top
"D2","5v","D_0603_1608Metric",27.002000,11.578000,-90.000000,top
"D3","5v","D_0603_1608Metric",18.645400,55.316800,0.000000,top
"D4","5v","D_0603_1608Metric",54.459400,52.853000,-90.000000,top
"J2","ESP-Prog","PinHeader_2x03_P1.27mm_Vertical_SMD",25.630400,48.535000,0.000000,top
"L1","36nH","L_0603_1608Metric",46.966400,44.852000,0.000000,top
"Q2","MMBT3904","SOT-23",4.802400,14.880000,-90.000000,top
"R1","10k","R_0603_1608Metric",12.803400,26.945000,90.000000,top
"R2","10k","R_0603_1608Metric",25.122400,17.420000,90.000000,top
"R3","10k","R_0603_1608Metric",22.836400,17.293000,90.000000,top
"R4","10k","R_0603_1608Metric",28.424400,16.200800,-90.000000,top
"R5","10k","R_0603_1608Metric",24.512800,12.390800,-90.000000,top
"R6","10k","R_0603_1608Metric",18.645400,51.837000,180.000000,top
"R7","10k","R_0603_1608Metric",52.173400,51.456000,90.000000,top
"R8","8.2k","R_0603_1608Metric",14.581400,18.690000,180.000000,top
"U1","ESP32-C3","ESP-WROOM-02",13.171000,39.238600,90.000000,top
"U2","RFM95W-915S2","HOPERF_RFM9XW_SMD",36.298400,33.549000,90.000000,top
"U3","AZ1117-3.3","SOT-223-3_TabPin2",39.981400,48.027000,-90.000000,top
